[125, [7.68, 3.36, 6.72, 2.52]]
[112, [7.68, 3.84, 6.359999999999999, 2.76]]
[135, [8.04, 3.7199999999999998, 6.72, 2.88]]
[131, [7.56, 4.08, 6.72, 2.88]]
[109, [8.16, 3.5999999999999996, 6.6, 2.52]]
[127, [7.68, 3.36, 6.72, 2.64]]
[121, [8.04, 3.9599999999999995, 6.84, 2.52]]
[142, [7.8, 3.5999999999999996, 6.24, 2.4]]
[100, [8.4, 3.5999999999999996, 6.96, 2.64]]
[132, [7.68, 3.7199999999999998, 6.6, 2.16]]
[136, [8.28, 3.7199999999999998, 6.119999999999999, 2.76]]
[145, [7.56, 3.9599999999999995, 7.199999999999999, 3.0]]
[153, [8.28, 3.84, 6.359999999999999, 2.64]]
[134, [8.28, 3.7199999999999998, 6.48, 2.52]]
[107, [7.8, 3.84, 6.119999999999999, 2.4]]
[149, [7.8, 3.5999999999999996, 6.96, 2.64]]
[113, [7.8, 3.5999999999999996, 6.6, 2.16]]
[117, [8.28, 3.84, 6.84, 2.76]]
[143, [7.4399999999999995, 4.08, 6.48, 2.76]]
[105, [8.04, 3.0, 6.96, 2.16]]
[139, [8.04, 3.9599999999999995, 6.84, 3.0]]
[140, [8.04, 3.5999999999999996, 6.24, 2.76]]
[138, [8.16, 3.84, 7.08, 2.76]]
[108, [7.68, 3.24, 6.359999999999999, 2.28]]
[148, [7.56, 3.48, 6.72, 2.16]]
